customer_id,customer_name,region
C00001,Customer 1,North
C00002,Customer 2,North
C00003,Customer 3,East
C00004,Customer 4,South
C00005,Customer 5,South
C00006,Customer 6,South
C00007,Customer 7,North
C00008,Customer 8,North
C00009,Customer 9,West
C00010,Customer 10,North
C00011,Customer 11,North
C00012,Customer 12,North
C00013,Customer 13,South
C00014,Customer 14,South
C00015,Customer 15,North
C00016,Customer 16,South
C00017,Customer 17,West
C00018,Customer 18,South
C00019,Customer 19,West
C00020,Customer 20,East
C00021,Customer 21,North
C00022,Customer 22,South
C00023,Customer 23,West
C00024,Customer 24,East
C00025,Customer 25,East
C00026,Customer 26,South
C00027,Customer 27,South
C00028,Customer 28,East
C00029,Customer 29,North
C00030,Customer 30,North
C00031,Customer 31,West
C00032,Customer 32,North
C00033,Customer 33,East
C00034,Customer 34,East
C00035,Customer 35,East
C00036,Customer 36,North
C00037,Customer 37,West
C00038,Customer 38,North
C00039,Customer 39,West
C00040,Customer 40,North
C00041,Customer 41,East
C00042,Customer 42,East
C00043,Customer 43,South
C00044,Customer 44,North
C00045,Customer 45,North
C00046,Customer 46,South
C00047,Customer 47,East
C00048,Customer 48,North
C00049,Customer 49,South
C00050,Customer 50,North
C00051,Customer 51,West
C00052,Customer 52,East
C00053,Customer 53,West
C00054,Customer 54,East
C00055,Customer 55,South
C00056,Customer 56,East
C00057,Customer 57,East
C00058,Customer 58,South
C00059,Customer 59,East
C00060,Customer 60,North
C00061,Customer 61,South
C00062,Customer 62,South
C00063,Customer 63,South
C00064,Customer 64,West
C00065,Customer 65,West
C00066,Customer 66,East
C00067,Customer 67,South
C00068,Customer 68,East
C00069,Customer 69,North
C00070,Customer 70,South
C00071,Customer 71,North
C00072,Customer 72,East
C00073,Customer 73,West
C00074,Customer 74,East
C00075,Customer 75,North
C00076,Customer 76,South
C00077,Customer 77,East
C00078,Customer 78,South
C00079,Customer 79,West
C00080,Customer 80,West
C00081,Customer 81,West
C00082,Customer 82,South
C00083,Customer 83,East
C00084,Customer 84,South
C00085,Customer 85,South
C00086,Customer 86,East
C00087,Customer 87,West
C00088,Customer 88,West
C00089,Customer 89,East
C00090,Customer 90,South
C00091,Customer 91,South
C00092,Customer 92,West
C00093,Customer 93,North
C00094,Customer 94,North
C00095,Customer 95,North
C00096,Customer 96,South
C00097,Customer 97,South
C00098,Customer 98,West
C00099,Customer 99,North
C00100,Customer 100,West
C00101,Customer 101,West
C00102,Customer 102,West
C00103,Customer 103,East
C00104,Customer 104,North
C00105,Customer 105,North
C00106,Customer 106,East
C00107,Customer 107,East
C00108,Customer 108,North
C00109,Customer 109,East
C00110,Customer 110,West
C00111,Customer 111,South
C00112,Customer 112,West
