event_id,shipment_id,truck_id,customer_id,origin,destination,event_type,status,delay_minutes,distance_km,event_ts
E00003254,S0006006,T00598,C00422,Surat,Surat,at_hub,at_hub,29,2214.17,2026-01-01T00:07:00
E00005101,S0001710,T00537,C00391,Bengaluru,Jaipur,delivered,at_hub,4,1485.94,2026-01-01T00:11:00
E00048182,S0003151,T00017,C00117,Pune,Jaipur,delayed,delayed,4,419.82,2026-01-01T00:14:00
E00036571,S0006267,T00127,C00999,Ahmedabad,Ahmedabad,picked_up,on_time,11,731.33,2026-01-01T00:18:00
E00026240,S0006650,T00265,C00725,Delhi,Jaipur,picked_up,on_time,7,1636.68,2026-01-01T00:22:00
E00028711,S0000406,T00095,C00034,Bengaluru,Delhi,at_hub,on_time,20,697.29,2026-01-01T00:24:00
E00006248,S0001157,T00563,C00431,Hyderabad,Jaipur,delayed,delayed,158,387.16,2026-01-01T00:25:00
E00021429,S0005788,T00191,C00330,Delhi,Delhi,delivered,on_time,13,315.61,2026-01-01T00:26:00
E00003970,S0001503,T00204,C00423,Jaipur,Hyderabad,at_hub,at_hub,18,394.93,2026-01-01T00:29:00
E00024772,S0002711,T00585,C00333,Delhi,Bengaluru,delivered,on_time,30,81.85,2026-01-01T00:30:00
E00045640,S0000228,T00353,C00435,Hyderabad,Bengaluru,at_hub,on_time,27,1387.1,2026-01-01T00:31:00
E00043538,S0007689,T00486,C00691,Bengaluru,Ahmedabad,delayed,delayed,45,2155.21,2026-01-01T00:32:00
E00036974,S0000660,T00432,C00132,Mumbai,Jaipur,in_transit,on_time,24,1694.84,2026-01-01T00:33:00
E00021448,S0001080,T00551,C00286,Pune,Mumbai,in_transit,at_hub,41,400.49,2026-01-01T00:34:00
E00035546,S0000922,T00406,C00915,Pune,Delhi,at_hub,delayed,25,825.05,2026-01-01T00:37:00
E00034633,S0005544,T00372,C00287,Bengaluru,Pune,in_transit,on_time,32,766.84,2026-01-01T00:38:00
E00026069,S0003503,T00178,C00597,Pune,Hyderabad,at_hub,delayed,20,1819.35,2026-01-01T00:42:00
E00034322,S0004786,T00168,C00457,Ahmedabad,Bengaluru,delayed,delayed,70,942.8,2026-01-01T00:43:00
E00039208,S0000341,T00435,C00605,Ahmedabad,Hyderabad,delayed,delayed,106,479.17,2026-01-01T00:53:00
E00045080,S0002724,T00143,C00170,Delhi,Jaipur,picked_up,delayed,39,1822.96,2026-01-01T00:53:00
E00046949,S0001141,T00366,C00371,Jaipur,Mumbai,in_transit,on_time,45,424.9,2026-01-01T00:55:00
E00001916,S0001793,T00433,C00244,Bengaluru,Ahmedabad,delivered,delayed,7,1241.89,2026-01-01T01:00:00
E00015147,S0001430,T00436,C00967,Mumbai,Mumbai,delayed,delayed,30,1677.57,2026-01-01T01:01:00
E00018897,S0000326,T00201,C00763,Bengaluru,Hyderabad,at_hub,on_time,35,2196.49,2026-01-01T01:02:00
E00028472,S0005104,T00279,C00650,Pune,Surat,picked_up,on_time,34,473.23,2026-01-01T01:03:00
E00046890,S0000105,T00038,C00681,Hyderabad,Ahmedabad,delivered,delayed,2,805.75,2026-01-01T01:06:00
E00036527,S0007394,T00264,C00015,Jaipur,Hyderabad,picked_up,at_hub,30,728.16,2026-01-01T01:07:00
E00030971,S0004210,T00008,C00892,Jaipur,Surat,in_transit,delayed,23,1019.11,2026-01-01T01:09:00
E00043780,S0006326,T00074,C00420,Bengaluru,Delhi,delayed,delayed,30,1263.32,2026-01-01T01:10:00
E00045347,S0007062,T00267,C00029,Surat,Bengaluru,delivered,delayed,8,23.6,2026-01-01T01:16:00
E00026336,S0003756,T00031,C00186,Surat,Jaipur,at_hub,delayed,32,2056.26,2026-01-01T01:24:00
E00040553,S0002295,T00591,C00598,Surat,Delhi,at_hub,at_hub,3,1238.6,2026-01-01T01:27:00
E00027581,S0006933,T00250,C00811,Hyderabad,Surat,in_transit,delayed,42,1102.39,2026-01-01T01:28:00
E00044784,S0005412,T00365,C00161,Delhi,Hyderabad,delivered,on_time,35,2456.22,2026-01-01T01:31:00
E00031065,S0006297,T00235,C00993,Surat,Ahmedabad,delayed,delayed,69,1064.07,2026-01-01T01:36:00
E00034441,S0002748,T00204,C00662,Surat,Delhi,delivered,at_hub,17,1693.76,2026-01-01T01:40:00
E00033454,S0000018,T00472,C00004,Hyderabad,Mumbai,in_transit,on_time,18,1189.38,2026-01-01T01:43:00
E00030356,S0006449,T00564,C00604,Ahmedabad,Delhi,at_hub,delayed,2,883.04,2026-01-01T01:46:00
E00043793,S0000570,T00592,C00538,Hyderabad,Hyderabad,in_transit,delayed,31,2318.55,2026-01-01T01:49:00
E00022109,S0001839,T00592,C00373,Bengaluru,Surat,picked_up,at_hub,10,1310.88,2026-01-01T01:51:00
E00043058,S0006412,T00362,C00871,Hyderabad,Jaipur,at_hub,at_hub,23,22.83,2026-01-01T01:51:00
E00015777,S0001586,T00115,C00188,Surat,Delhi,picked_up,delayed,6,507.37,2026-01-01T01:51:00
E00029716,S0007217,T00518,C00453,Mumbai,Bengaluru,in_transit,at_hub,45,2299.87,2026-01-01T01:56:00
E00013630,S0000108,T00565,C00830,Pune,Pune,at_hub,at_hub,16,1841.08,2026-01-01T02:00:00
E00047993,S0001474,T00270,C00292,Bengaluru,Bengaluru,at_hub,on_time,35,784.95,2026-01-01T02:01:00
E00041018,S0000007,T00326,C00669,Bengaluru,Pune,in_transit,delayed,28,585.41,2026-01-01T02:01:00
E00008706,S0003718,T00367,C00349,Jaipur,Surat,delayed,delayed,136,1248.99,2026-01-01T02:02:00
E00044525,S0007101,T00480,C00175,Bengaluru,Surat,delivered,on_time,43,981.88,2026-01-01T02:05:00
E00018532,S0000459,T00414,C00674,Bengaluru,Surat,picked_up,delayed,29,241.2,2026-01-01T02:05:00
E00017641,S0007227,T00217,C00827,Pune,Ahmedabad,picked_up,delayed,30,1390.94,2026-01-01T02:06:00
E00005667,S0002367,T00011,C00312,Jaipur,Hyderabad,delayed,delayed,173,2211.78,2026-01-01T02:07:00
E00012823,S0001920,T00004,C00077,Ahmedabad,Hyderabad,delivered,at_hub,14,1608.82,2026-01-01T02:07:00
E00001905,S0006982,T00527,C00445,Surat,Surat,picked_up,on_time,42,2496.12,2026-01-01T02:08:00
E00047989,S0001574,T00440,C00750,Hyderabad,Bengaluru,in_transit,delayed,40,2346.97,2026-01-01T02:09:00
E00027146,S0002690,T00199,C00278,Delhi,Delhi,at_hub,at_hub,6,1873.02,2026-01-01T02:11:00
E00044510,S0003296,T00296,C00585,Ahmedabad,Pune,delivered,delayed,10,239.77,2026-01-01T02:13:00
E00029960,S0003486,T00575,C00386,Surat,Ahmedabad,in_transit,at_hub,45,2414.42,2026-01-01T02:13:00
E00044094,S0003350,T00009,C00969,Jaipur,Bengaluru,picked_up,on_time,17,469.89,2026-01-01T02:17:00
E00005506,S0002586,T00548,C00280,Surat,Jaipur,in_transit,on_time,7,2414.97,2026-01-01T02:18:00
E00046288,S0002160,T00133,C00570,Delhi,Delhi,delivered,at_hub,24,2123.09,2026-01-01T02:18:00
E00031300,S0003306,T00197,C00135,Bengaluru,Hyderabad,delivered,delayed,42,194.05,2026-01-01T02:18:00
E00021041,S0007218,T00447,C00498,Pune,Ahmedabad,delivered,at_hub,40,798.39,2026-01-01T02:18:00
E00011275,S0000378,T00494,C00111,Delhi,Ahmedabad,delayed,delayed,113,1598.32,2026-01-01T02:19:00
E00033809,S0000555,T00424,C00120,Delhi,Mumbai,picked_up,on_time,25,1646.28,2026-01-01T02:20:00
E00005926,S0000342,T00407,C00916,Surat,Mumbai,delivered,at_hub,22,1803.43,2026-01-01T02:20:00
E00034881,S0002402,T00349,C00959,Jaipur,Surat,picked_up,on_time,0,196.48,2026-01-01T02:27:00
E00018766,S0005712,T00469,C00557,Pune,Delhi,in_transit,at_hub,19,230.15,2026-01-01T02:29:00
E00026396,S0002909,T00502,C00357,Jaipur,Pune,at_hub,on_time,35,1157.92,2026-01-01T02:30:00
E00011353,S0003544,T00465,C00911,Ahmedabad,Mumbai,delayed,delayed,100,1065.09,2026-01-01T02:33:00
E00002270,S0007932,T00575,C00476,Surat,Jaipur,in_transit,delayed,26,1364.17,2026-01-01T02:36:00
E00006842,S0005155,T00459,C00178,Surat,Bengaluru,picked_up,delayed,29,1264.81,2026-01-01T02:40:00
E00017676,S0006420,T00249,C00427,Bengaluru,Delhi,delivered,on_time,33,1940.36,2026-01-01T02:43:00
E00048944,S0004572,T00542,C00345,Bengaluru,Jaipur,at_hub,delayed,34,460.93,2026-01-01T02:47:00
E00046190,S0000994,T00046,C00348,Delhi,Hyderabad,delivered,on_time,42,654.92,2026-01-01T02:50:00
E00021621,S0000860,T00155,C00450,Jaipur,Pune,picked_up,on_time,17,2000.55,2026-01-01T02:52:00
E00020972,S0003102,T00173,C00127,Mumbai,Surat,delivered,on_time,35,419.29,2026-01-01T03:03:00
E00043444,S0006002,T00045,C01000,Jaipur,Pune,picked_up,at_hub,23,2305.96,2026-01-01T03:03:00
E00033027,S0006470,T00528,C00983,Mumbai,Jaipur,picked_up,at_hub,25,1550.18,2026-01-01T03:04:00
E00004280,S0006198,T00170,C00070,Jaipur,Pune,delivered,at_hub,28,1568.47,2026-01-01T03:05:00
E00017010,S0005597,T00436,C00389,Delhi,Jaipur,in_transit,at_hub,34,845.86,2026-01-01T03:07:00
E00035760,S0002180,T00348,C00442,Surat,Delhi,picked_up,on_time,25,1087.87,2026-01-01T03:08:00
